count,timestamp,S,D,F,J,K,L,char,dummy,matched,pre-delta,post-delta,elapsed,dS,dD,dF,dJ,dK,dL,Hamming D.,Pressed Keys
234,1391409542261 ,0,0,0,0,0,0,,0,0,24 ,1112 ,184 ,0,1,1,0,0,0,2,0
235,1391409543373 ,0,0,1,0,0,0,Ç†,0,0,1112 ,8 ,1296 ,0,1,0,0,0,0,1,1
236,1391409543381 ,1,0,1,0,0,0,Ç»,0,0,8 ,8 ,1304 ,1,1,0,0,0,0,2,2
237,1391409543389 ,1,0,1,0,0,1,ÇÕ,0,0,8 ,16 ,1312 ,1,1,0,0,0,1,3,3
238,1391409543405 ,1,0,1,0,1,1,Ç‹,0,1,16 ,216 ,1328 ,1,1,0,0,1,1,4,4
239,1391409543621 ,1,0,0,0,1,1,ÇÒ,0,0,216 ,8 ,216 ,0,0,1,0,0,0,1,3
240,1391409543629 ,0,0,0,0,1,1,,0,0,8 ,0 ,224 ,1,0,1,0,0,0,2,2
241,1391409543629 ,0,0,0,0,1,0,,0,0,0 ,1 ,224 ,1,0,1,0,0,1,3,1
242,1391409543630 ,0,0,0,0,0,0,,0,0,1 ,1223 ,225 ,1,0,1,0,1,1,4,0
243,1391409544853 ,0,1,0,0,0,0,Ç¡,0,0,1223 ,8 ,1448 ,1,1,1,0,1,1,5,1
244,1391409544861 ,0,1,1,0,0,0,Ç¢,0,0,8 ,16 ,1456 ,1,1,0,0,1,1,4,2
245,1391409544877 ,0,1,1,0,1,0,ÇË,0,0,16 ,8 ,1472 ,1,1,0,0,0,1,3,3
246,1391409544885 ,0,1,1,0,1,1,Çµ,0,1,8 ,184 ,1480 ,1,1,0,0,0,0,2,4
247,1391409545069 ,0,1,1,0,1,0,ÇË,0,0,184 ,8 ,184 ,0,0,0,0,0,1,1,3
248,1391409545077 ,0,0,1,0,1,0,ÇÁ,0,0,8 ,0 ,192 ,0,1,0,0,0,1,2,2
249,1391409545077 ,0,0,1,0,0,0,Ç†,0,0,0 ,8 ,192 ,0,1,0,0,1,1,3,1
250,1391409545085 ,0,0,0,0,0,0,,0,0,8 ,1633 ,200 ,0,1,1,0,1,1,4,0
251,1391409546718 ,0,0,0,0,1,0,,0,0,1633 ,7 ,1833 ,0,1,1,0,0,1,3,1
252,1391409546725 ,0,0,1,0,1,0,ÇÁ,0,0,7 ,1 ,1840 ,0,1,0,0,0,1,2,2
253,1391409546726 ,1,0,1,0,1,0,ÇΩ,0,1,1 ,215 ,1841 ,1,1,0,0,0,1,3,3
254,1391409546941 ,1,0,1,0,0,0,Ç»,0,0,215 ,16 ,215 ,0,0,0,0,1,0,1,2
255,1391409546957 ,1,0,0,0,0,0,ÇÌ,0,0,16 ,32 ,231 ,0,0,1,0,1,0,2,1
256,1391409546989 ,0,0,0,0,0,0,,0,0,32 ,,263 ,1,0,1,0,1,0,3,0
