count,timestamp,S,D,F,J,K,L,char,dummy,matched,pre-delta,post-delta,elapsed,dS,dD,dF,dJ,dK,dL,Hamming D.,Pressed Keys
54,1391409504532 ,1,0,1,1,1,0,Ç¬,0,0,1 ,7 ,1057 ,1,0,0,1,0,1,3,4
55,1391409504539 ,1,0,1,1,1,1,Çﬁ,0,1,7 ,176 ,1064 ,1,0,0,1,0,0,2,5
56,1391409504715 ,1,0,0,1,1,1,,0,0,176 ,8 ,176 ,0,0,1,0,0,0,1,4
57,1391409504723 ,1,0,0,1,0,1,Ç‰,0,0,8 ,0 ,184 ,0,0,1,0,1,0,2,3
58,1391409504723 ,1,0,0,1,0,0,Ç‚,0,0,0 ,8 ,184 ,0,0,1,0,1,1,3,2
59,1391409504731 ,1,0,0,0,0,0,ÇÌ,0,0,8 ,48 ,192 ,0,0,1,1,1,1,4,1
60,1391409504779 ,0,0,0,0,0,0,,0,0,48 ,296 ,240 ,1,0,1,1,1,1,5,0
61,1391409505075 ,0,0,1,0,0,0,Ç†,0,0,296 ,8 ,536 ,1,0,0,1,1,1,4,1
62,1391409505083 ,0,1,1,0,0,0,Ç¢,0,1,8 ,192 ,544 ,1,1,0,1,1,1,5,2
63,1391409505275 ,0,1,0,0,0,0,Ç¡,0,0,192 ,8 ,192 ,0,0,1,0,0,0,1,1
64,1391409505283 ,0,0,0,0,0,0,,0,0,8 ,352 ,200 ,0,1,1,0,0,0,2,0
65,1391409505635 ,0,0,1,0,0,0,Ç†,0,1,352 ,145 ,552 ,0,1,0,0,0,0,1,1
66,1391409505780 ,0,0,0,0,0,0,,0,0,145 ,744 ,145 ,0,0,1,0,0,0,1,0
67,1391409506524 ,0,0,1,0,0,0,Ç†,0,0,744 ,24 ,889 ,0,0,0,0,0,0,0,1
68,1391409506548 ,0,0,1,0,0,1,Ç©,0,0,24 ,24 ,913 ,0,0,0,0,0,1,1,2
69,1391409506572 ,0,0,1,0,1,1,Ç≥,0,1,24 ,160 ,937 ,0,0,0,0,1,1,2,3
70,1391409506732 ,0,0,0,0,1,1,,0,0,160 ,8 ,160 ,0,0,1,0,0,0,1,2
71,1391409506740 ,0,0,0,0,0,1,,0,0,8 ,8 ,168 ,0,0,1,0,1,0,2,1
72,1391409506748 ,0,0,0,0,0,0,,0,0,8 ,728 ,176 ,0,0,1,0,1,1,3,0
73,1391409507476 ,0,1,0,0,0,0,Ç¡,0,0,728 ,24 ,904 ,0,1,1,0,1,1,4,1
74,1391409507500 ,0,1,0,0,1,0,Å[,0,0,24 ,8 ,928 ,0,1,1,0,0,1,3,2
75,1391409507508 ,0,1,0,1,1,0,ÇÎ,0,0,8 ,8 ,936 ,0,1,1,1,0,1,4,3
76,1391409507516 ,0,1,0,1,1,1,Çª,0,1,8 ,152 ,944 ,0,1,1,1,0,0,3,4
77,1391409507668 ,0,1,0,1,1,0,ÇÎ,0,0,152 ,16 ,152 ,0,0,0,0,0,1,1,3
78,1391409507684 ,0,1,0,1,0,0,Ç®,0,0,16 ,4 ,168 ,0,0,0,0,1,1,2,2
79,1391409507688 ,0,1,0,0,0,0,Ç¡,0,0,4 ,4 ,172 ,0,0,0,1,1,1,3,1
80,1391409507692 ,0,0,0,0,0,0,,0,0,4 ,688 ,176 ,0,1,0,1,1,1,4,0
81,1391409508380 ,0,1,0,0,0,0,Ç¡,0,0,688 ,8 ,864 ,0,0,0,1,1,1,3,1
82,1391409508388 ,1,1,0,0,0,0,,0,0,8 ,8 ,872 ,1,0,0,1,1,1,4,2
83,1391409508396 ,1,1,0,1,0,0,ÇÃ,0,1,8 ,176 ,880 ,1,0,0,0,1,1,3,3
84,1391409508572 ,1,1,0,0,0,0,,0,0,176 ,8 ,176 ,0,0,0,1,0,0,1,2
85,1391409508580 ,0,1,0,0,0,0,Ç¡,0,0,8 ,8 ,184 ,1,0,0,1,0,0,2,1
86,1391409508588 ,0,0,0,0,0,0,,0,0,8 ,705 ,192 ,1,1,0,1,0,0,3,0
87,1391409509293 ,0,0,0,1,0,0,,0,0,705 ,7 ,897 ,1,1,0,0,0,0,2,1
88,1391409509300 ,0,0,1,1,0,0,Ç§,0,0,7 ,24 ,904 ,1,1,1,0,0,0,3,2
